right_knee_angular_position,right_motor_torque,right_motor_delta
0.0,-0.886,1.5708
-0.032,-11.0808,1.5388
-0.064,-2.046,1.5068
-0.096,-2.1545,1.4748
-0.128,-2.4399,1.4428
-0.16,-2.7775,1.4108
-0.192,-3.1369,1.3788
-0.224,-3.499,1.3468
-0.256,-3.859,1.3148
-0.288,-4.2156,1.2828
-0.32,-4.567,1.2508
-0.352,-4.9131,1.2188
-0.384,-5.2541,1.1868
-0.416,-5.5893,1.1548
-0.448,-5.9184,1.1228
-0.48,-6.241,1.0908
-0.512,-6.5571,1.0588
-0.544,-6.8664,1.0268
-0.576,-7.1688,0.9948
-0.608,-7.4641,0.9628
-0.64,-7.7521,0.9308
-0.672,-8.0317,0.8988
-0.704,-8.3039,0.8668
-0.736,-8.5687,0.8348
-0.768,-8.826,0.8028
-0.8,-9.0744,0.7708
-0.832,-9.3142,0.7388
-0.864,-9.5451,0.7068
-0.896,-9.7684,0.6748
-0.928,-9.9826,0.6428
-0.96,-10.1863,0.6108
-0.992,-10.38,0.5788
-1.024,-10.5636,0.5468
-1.056,-10.7369,0.5148
-1.088,-10.8944,0.4828
-1.12,-11.0536,0.4508
-1.152,-11.1957,0.4188
-1.184,-11.3252,0.3868
-1.216,-11.4431,0.3548
-1.248,-11.5493,0.3228
-1.28,-11.6437,0.2908
-1.312,-11.7263,0.2588
-1.344,-11.7969,0.2268
-1.376,-11.8554,0.1948
-1.408,-11.9017,0.1628
-1.44,-11.9358,0.1308
-1.472,-11.9576,0.0988
-1.488,-7.309,0.0828
-1.504,-11.7391,0.0668
-1.52,-11.8848,0.0508
-1.536,-11.9098,0.0348
-1.544,-9.5808,0.0268
-1.552,-11.795,0.0188
-1.556,-10.6949,0.0148
-1.56,-11.8164,0.0108
-1.562,-11.272,0.0088
-1.564,-11.8286,0.0068
-1.566,-11.8466,0.0048
-1.567,-11.5537,0.0038
-1.568,-11.8454,0.0028
-1.5685,-11.7188,0.0023
-1.569,-11.8585,0.0018
-1.5695,-11.8706,0.0013
-1.5698,-11.8057,0.001
-1.57,-11.8917,0.0008
-1.5703,-11.8391,1.5698
-1.5383,-2.6264,1.5378
-1.5063,-11.4984,1.5058
-1.4743,-11.7783,1.4738
-1.4423,-11.8237,1.4418
-1.4103,-11.8115,1.4098
-1.3783,-11.7773,1.3778
-1.3463,-11.7289,1.3458
-1.3143,-11.6681,1.3138
-1.2823,-11.595,1.2818
-1.2503,-11.5095,1.2498
-1.2183,-11.4111,1.2178
-1.1863,-11.3006,1.1858
-1.1543,-11.1777,1.1538
-1.1223,-11.0413,1.1218
-1.0903,-10.8924,1.0898
